title,company,location,job_type,date_posted
Agent d’élevage expérimenté,Agence Hybride.,"Noto, Thiès, Sénégal",Prestation de Services,Publié le 8 mai 2025
Chargé de la Clientèle,Prepdia,"Liberté 6, VDN",CDD,Publié le 8 mai 2025
Technicien Maintenance,Laiterie du Berger Entreprise Agro alimentaire,"Sandiara, Sénégal",CDD,Publié le 8 mai 2025
Regional Finance Manager SAHEL,Heifer International,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Regional MEL Manager SAHEL,Heifer International,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Equipment Maintenance Technician,Maersk,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Technico-Commercial Chimie (Segment traitement des eaux et mines),SOLEVO Group,"Dakar, Sénégal",CDI,Publié le 8 mai 2025
Graduate Associate Intern,Tony Blair Institute,"Dakar, Sénégal",Stage,Publié le 8 mai 2025
"Finance Lead, WAEMU",Mastercard Foundation,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Commercial immobilier,Green CitySociété de promotion immobiliére,"Mermoz, Dakar, Sénégal",CDD,Publié le 8 mai 2025
Responsable Placement et Etude Statistique Sante & Vie,WTW,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Guest Experience Expert,Marriott International,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Coordonnateur(trice) du projet Voix et leadership des femmes renouvele (vlfr),Oxfam America,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Développeur WordPress,NetSysteme Informatique,"Dakar, Sénégal",Stage,Publié le 8 mai 2025
(04) Conseillers call-center,NetSysteme Informatique,"Dakar, Sénégal",Stage,Publié le 8 mai 2025
(04) Commerciaux de terrain,NetSysteme Informatique,"Dakar, Sénégal",CDD,Publié le 8 mai 2025
Télévendeur,PHONIX-GROUP,"Cité Keur Goorgui, Dakar, Sénégal",CDD,Publié le 8 mai 2025
(04) Techniciens en électricité bâtiment,Netsysteme Informatique,"Ouest foire, Dakar , Sénégal",Stage,Publié le 8 mai 2025
Superviseur Comptable Bilingue,Sunda InternationalFaire de grandes réalisations sur la vaste plate-forme mondiale.,"Cambérene, Dakar, Sénégal",CDD,Publié le 7 mai 2025
Stage en Gestion de projets climatiques,"Global TalentVotre Réussite, Notre Vision.","Dakar, Sénégal",Stage,Publié le 7 mai 2025
Responsable administratif et financier,Topwork,"Sindia, Sénégal",CDD,Publié le 7 mai 2025
Responsable Trade marketing,Topwork,"Dakar, Sénégal",CDD,Publié le 7 mai 2025
Contrôleur Interne de Gestion,Société de la place,Sénégal,CDD,Publié le 7 mai 2025
Animal Health Consultant,FAO,"Dakar, Sénégal",CDD,Publié le 7 mai 2025
F&B Service Expert,Four Points,"Dakar, Sénégal",CDD,Publié le 7 mai 2025
Ingénieur,RMO Sénégal,"Dakar, Sénégal",CDD,Publié le 7 mai 2025
"Senior Associate, Regional Procurement, Vaccines Market Team",CHAI,"Dakar, Sénégal",CDD,Publié le 7 mai 2025
Gestionnaire Comptable,Société de la place,"Dakar, Sénégal",CDD,Publié le 7 mai 2025
Agent HSE,GPF,"Dakar, Sénégal",CDD,Publié le 7 mai 2025
Assistant de Production,GPF,"Dakar, Sénégal",CDD,Publié le 7 mai 2025
